state,county.x,city,college,cases,state_id,county_fips,lat,long
North Carolina,Wake,Raleigh,North Carolina State University,1333,NC,37183,35.8325,-78.6435
North Carolina,Watauga,Boone,Appalachian State University,1192,NC,37189,36.2111,-81.6668
North Carolina,Alamance,Elon,Elon University,785,NC,37001,36.1014,-79.5085
North Carolina,New Hanover,Wilmington,University of North Carolina Wilmington,755,NC,37129,34.21,-77.8866
North Carolina,Mecklenburg,Charlotte,University of North Carolina at Charlotte,716,NC,37119,35.208,-80.8304
North Carolina,Forsyth,Winston-Salem,Wake Forest University,539,NC,37067,36.1029,-80.2611
North Carolina,Guilford,Greensboro,North Carolina A&T State University,475,NC,37081,36.0956,-79.8269
North Carolina,Robeson,Pembroke,University of North Carolina at Pembroke,446,NC,37155,34.6766,-79.1934
North Dakota,Grand Forks,Grand Forks,University of North Dakota,1724,ND,38035,47.9218,-97.0886
North Dakota,Cass,Fargo,North Dakota State University,708,ND,38017,46.8652,-96.8292
North Dakota,Ward,Minot,Minot State University,490,ND,38101,48.2375,-101.2781
North Dakota,Burleigh,Bismarck,Bismarck State College,205,ND,38015,46.8144,-100.7694
North Dakota,Richland,Wahpeton,North Dakota State College of Science,169,ND,38077,46.2722,-96.6118
North Dakota,Stark,Dickinson,Dickinson State University,132,ND,38089,46.8917,-102.7924
North Dakota,Williams,Williston,Williston State College,117,ND,38105,48.1814,-103.6364
North Dakota,Traill,Mayville,Mayville State University,107,ND,38097,47.4982,-97.3264
North Dakota,Bottineau,Bottineau,Dakota College at Bottineau,83,ND,38009,48.8248,-100.4425
North Dakota,Barnes,Valley City,Valley City State University,68,ND,38003,46.9223,-98.0055
Ohio,Franklin,Columbus,Ohio State University,4665,OH,39049,39.9862,-82.985
Ohio,Butler,Oxford,Miami University (Ohio),2368,OH,39017,39.506100000000004,-84.7434
Ohio,Montgomery,Dayton,University of Dayton,1503,OH,39113,39.7797,-84.1998
Ohio,Hamilton,Cincinnati,University of Cincinnati,1252,OH,39061,39.1413,-84.5061
Ohio,Athens,Athens,Ohio University,693,OH,39009,39.3269,-82.0988
Ohio,Wood,Bowling Green,Bowling Green State University,665,OH,39173,41.3773,-83.65
Ohio,Portage,Kent,Kent State University,580,OH,39133,41.149,-81.361
Ohio,Lucas,Toledo,University of Toledo,566,OH,39095,41.6639,-83.5822
Ohio,Hancock,Findlay,The University of Findlay,221,OH,39063,41.0467,-83.6379
Ohio,Summit,Akron,University of Akron,216,OH,39153,41.0798,-81.5219
Oklahoma,Payne,Stillwater,Oklahoma State University,2167,OK,40119,36.1316,-97.074
Oklahoma,Cleveland,Norman,University of Oklahoma,630,OK,40027,35.2335,-97.3471
Oklahoma,Oklahoma,Edmond,University of Central Oklahoma,573,OK,40109,35.6689,-97.4159
Oklahoma,Custer,Weatherford,Southwestern Oklahoma State University,311,OK,40039,35.5384,-98.6872
Oklahoma,Tulsa,Tulsa,University of Tulsa,191,OK,40143,36.1284,-95.9042
Oklahoma,Oklahoma,Edmond,Oklahoma Christian University,186,OK,40109,35.6689,-97.4159
Oklahoma,Bryan,Durant,Southeastern Oklahoma State University,170,OK,40013,33.9957,-96.3938
Oklahoma,Kay,Tonkawa,Northern Oklahoma College,166,OK,40071,36.6787,-97.3281
Oklahoma,Cherokee,Tahlequah,Northeastern State University,133,OK,40021,35.9116,-94.9773
Oklahoma,Comanche,Lawton,Cameron University,114,OK,40031,34.6176,-98.4203
Oregon,Lane,Eugene,University of Oregon,595,OR,41039,44.0563,-123.1173
Oregon,Multnomah,Portland,Oregon Health & Science University,158,OR,41051,45.5372,-122.65
Oregon,Benton,Corvallis,Oregon State University,157,OR,41003,44.5697,-123.278
Oregon,Klamath,Klamath Falls,Oregon Institute of Technology,35,OR,41035,42.2191,-121.7754
Oregon,Lane,Eugene,Lane Community College,29,OR,41039,44.0563,-123.1173
Oregon,Union,La Grande,Eastern Oregon University,28,OR,41061,45.3243,-118.0865
Oregon,Yamhill,Newberg,George Fox University,21,OR,41071,45.3075,-122.9601
Oregon,Multnomah,Portland,Reed College,16,OR,41051,45.5372,-122.65
Oregon,Jackson,Ashland,Southern Oregon University,15,OR,41029,42.1905,-122.6992
Oregon,Washington,Forest Grove,Pacific University,14,OR,41067,45.5244,-123.1101
Pennsylvania,Centre,State College,Penn State University,4353,PA,42027,40.7909,-77.8568
Pennsylvania,Philadelphia,Philadelphia,University of Pennsylvania,827,PA,42101,40.0077,-75.1339
Pennsylvania,Philadelphia,Philadelphia,Temple University,797,PA,42101,40.0077,-75.1339
Pennsylvania,Lackawanna,Scranton,University of Scranton,645,PA,42069,41.4044,-75.6649
Pennsylvania,Allegheny,Pittsburgh,University of Pittsburgh,627,PA,42003,40.4396,-79.9762
Pennsylvania,Indiana,Indiana,Indiana University of Pennsylvania,419,PA,42063,40.622,-79.1552
Pennsylvania,Philadelphia,Philadelphia,Saint Joseph's University,393,PA,42101,40.0077,-75.1339
Pennsylvania,Columbia,Bloomsburg,Bloomsburg University of Pennsylvania,381,PA,42037,41.0027,-76.4561
Pennsylvania,Berks,Kutztown,Kutztown University,381,PA,42011,40.5213,-75.7772
Pennsylvania,Delaware,Villanova,Villanova University,363,NA,NA,40.039388,-75.345457
Rhode Island,Washington,Kingston,University of Rhode Island,634,RI,44009,41.4738,-71.5236
Rhode Island,Providence,Providence,Providence College,302,RI,44007,41.823,-71.4187
Rhode Island,Bristol,Bristol,Roger Williams University,130,NA,NA,41.650214,-71.260374
Rhode Island,Providence,Providence,Brown University,83,RI,44007,41.823,-71.4187
Rhode Island,Providence,Providence,Johnson & Wales University,73,RI,44007,41.823,-71.4187
Rhode Island,Providence,Smithfield,Bryant University,44,NA,NA,41.920092,-71.539547
Rhode Island,Providence,Providence,Rhode Island College,42,RI,44007,41.823,-71.4187
Rhode Island,Newport,Newport,Salve Regina University,19,RI,44005,41.4803,-71.3205
Rhode Island,Providence,Providence,Rhode Island School of Design,14,RI,44007,41.823,-71.4187
South Carolina,Pickens,Clemson,Clemson University,5086,SC,45077,34.6837,-82.8124
South Carolina,Richland,Columbia,University of South Carolina,3037,SC,45079,34.0376,-80.9037
South Carolina,Charleston,Charleston,College of Charleston,523,SC,45019,32.8153,-79.9628
South Carolina,Greenville,Greenville,Greenville Technical College,472,SC,45045,34.8353,-82.3647
South Carolina,Horry,Conway,Coastal Carolina University,335,SC,45051,33.8399,-79.0424
South Carolina,Charleston,Charleston,Medical University of South Carolina,284,SC,45019,32.8153,-79.9628
South Carolina,Anderson,Pendleton,Tri-County Technical College,237,SC,45007,34.6454,-82.7821
South Carolina,Spartanburg,Spartanburg,Wofford College,174,SC,45083,34.9437,-81.9257
South Carolina,Charleston,Charleston,The Citadel,163,SC,45019,32.8153,-79.9628
South Carolina,Spartanburg,Spartanburg,University of South Carolina Upstate,162,SC,45083,34.9437,-81.9257
South Dakota,Minnehaha,Sioux Falls,Augustana University,275,SD,46099,43.5397,-96.732
South Dakota,Clay,Vermillion,University of South Dakota,264,SD,46027,42.7811,-96.9255
South Dakota,Brookings,Brookings,South Dakota State University,112,SD,46011,44.3022,-96.7859
South Dakota,Lawrence,Spearfish,Black Hills State University,72,SD,46081,44.4912,-103.8167
South Dakota,Minnehaha,Sioux Falls,University of Sioux Falls,57,SD,46099,43.5397,-96.732
South Dakota,Brown,Aberdeen,Northern State University,45,SD,46013,45.4646,-98.468
South Dakota,Pennington,Rapid City,South Dakota School of Mines and Technology,41,SD,46103,44.0716,-103.2204
South Dakota,Lake,Madison,Dakota State University,25,SD,46079,44.0062,-97.1084
South Dakota,Yankton,Yankton,Mount Marty College,21,SD,46135,42.8901,-97.3926
South Dakota,Oglala Lakota,Kyle,Oglala Lakota College,0,SD,46102,43.4245,-102.1802
Tennessee,Knox,Knoxville,"University of Tennessee, Knoxville",2022,TN,47093,35.9692,-83.9496
Tennessee,Davidson,Nashville,Vanderbilt University,816,TN,47037,36.1715,-86.7843
Tennessee,Hamilton,Chattanooga,University of Tennessee at Chattanooga,806,TN,47065,35.0657,-85.2488
Tennessee,Putnam,Cookeville,Tennessee Technological University,726,TN,47141,36.1484,-85.5114
Tennessee,Rutherford,Murfreesboro,Middle Tennessee State University,484,TN,47149,35.8492,-86.4119
Tennessee,Washington,Johnson City,East Tennessee State University,421,TN,47179,36.3406,-82.3803
Tennessee,Shelby,Memphis,University of Memphis,381,TN,47157,35.1046,-89.9773
Tennessee,Weakley,Martin,University of Tennessee at Martin,361,TN,47183,36.3386,-88.8513
Tennessee,Shelby,Memphis,University of Tennessee Health Science Center,266,TN,47157,35.1046,-89.9773
Tennessee,Montgomery,Clarksville,Austin Peay State University,258,TN,47125,36.5695,-87.342
Texas,Lubbock,Lubbock,Texas Tech University,2697,TX,48303,33.5659,-101.8878
Texas,Brazos,College Station,Texas A&M University,2521,TX,48041,30.5852,-96.296
Texas,Travis,Austin,University of Texas at Austin,1849,TX,48453,30.3004,-97.7522
Texas,Tarrant,Fort Worth,Texas Christian University,1497,TX,48439,32.7811,-97.3473
Texas,McLennan,Waco,Baylor University,1492,TX,48309,31.5598,-97.1881
Texas,El Paso,El Paso,University of Texas at El Paso,1118,TX,48141,31.8479,-106.4309
Texas,Hays,San Marcos,Texas State University,978,TX,48209,29.8736,-97.9381
Texas,Walker,Huntsville,Sam Houston State University,878,TX,48471,30.705,-95.5544
Texas,Galveston,Galveston,University of Texas Medical Branch at Galveston,863,TX,48167,29.2487,-94.891
Texas,Dallas,Dallas,Southern Methodist University,822,TX,48113,32.7936,-96.7662
Utah,Utah,Provo,Brigham Young University,2993,UT,49049,40.2457,-111.6457
Utah,Salt Lake,Salt Lake City,University of Utah,1864,UT,49035,40.7777,-111.9306
Utah,Cache,Logan,Utah State University,1594,UT,49005,41.74,-111.8419
Utah,Utah,Orem,Utah Valley University,898,UT,49049,40.2983,-111.6992
Utah,Salt Lake,Salt Lake City,Salt Lake Community College,455,UT,49035,40.7777,-111.9306
Utah,Washington,St. George,Dixie State University,398,UT,49053,37.077,-113.577
Utah,Weber,Ogden,Weber State University,280,UT,49057,41.2278,-111.9682
Utah,Iron,Cedar City,Southern Utah University,167,UT,49021,37.6834,-113.0956
Utah,Salt Lake,Salt Lake City,Westminster College,99,UT,49035,40.7777,-111.9306
Utah,Salt Lake,Salt Lake City,Westminster College,99,UT,49035,40.7777,-111.9306
Utah,Salt Lake,Salt Lake City,Westminster College,99,UT,49035,40.7777,-111.9306
Utah,Sanpete,Ephraim,Snow College,33,UT,49039,39.3564,-111.5847
Vermont,Chittenden,Colchester,Saint Michael's College,77,NA,NA,44.494558,-73.167069
Vermont,Chittenden,Burlington,University of Vermont,23,VT,50007,44.4877,-73.2314
Vermont,Washington,Northfield,Norwich University,9,NA,NA,44.140237,-72.659783
Vermont,Chittenden,Burlington,Champlain College,6,VT,50007,44.4877,-73.2314
Vermont,Addison,Middlebury,Middlebury College,4,NA,NA,44.009117,-73.176068
Vermont,Orange,Randolph,Vermont Technical College,4,NA,NA,43.939623,-72.604498
Vermont,Bennington,Bennington,Bennington College,3,NA,NA,42.919547,-73.237799
Vermont,Windham,Putney,Landmark College,3,NA,NA,42.977172,-72.512549
Vermont,Rutland,Castleton,Castleton University,2,NA,NA,43.608397,-73.180842
Vermont,Caledonia,Lyndonville,Northern Vermont University-Lyndon,1,VT,50005,44.5352,-72.0016
Virginia,Rockingham,Harrisonburg,James Madison University,1650,VA,51660,38.4361,-78.8735
Virginia,Montgomery,Blacksburg,Virginia Tech,1535,VA,51121,37.23,-80.4279
Virginia,Charlottesville,Charlottesville,University of Virginia,1229,VA,51540,38.0375,-78.4855
Virginia,Campbell,Lynchburg,Liberty University,906,VA,51680,37.4003,-79.1909
Virginia,Radford,Radford,Radford University,548,VA,51750,37.1229,-80.5587
Virginia,Lynchburg,Lynchburg,University of Lynchburg,539,VA,51680,37.4003,-79.1909
Virginia,Richmond,Richmond,Virginia Commonwealth University,454,VA,51760,37.5295,-77.4756
Virginia,Norfolk,Norfolk,Old Dominion University,187,VA,51710,36.8945,-76.259
Virginia,Fairfax,Fairfax,George Mason University,175,VA,51600,38.8531,-77.2998
Virginia,Newport News,Newport News,Christopher Newport University,146,VA,51700,37.1051,-76.5185
Washington,Whitman,Pullman,Washington State University,1407,WA,53075,46.734,-117.1669
Washington,King,Seattle,University of Washington,875,WA,53033,47.6211,-122.3244
Washington,Spokane,Cheney,Eastern Washington University,229,WA,53063,47.4901,-117.579
Washington,Kittitas,Ellensburg,Central Washington University,188,WA,53037,46.9994,-120.5477
Washington,Spokane,Spokane,Gonzaga University,160,WA,53063,47.6671,-117.433
Washington,Spokane,Spokane,Whitworth University,71,WA,53063,47.6671,-117.433
Washington,King,Seattle,Seattle University,48,WA,53033,47.6211,-122.3244
Washington,Pierce,Tacoma,University of Washington Tacoma,23,WA,53053,47.2431,-122.4531
Washington,Spokane,Spokane,Spokane Community College,22,WA,53063,47.6671,-117.433
Washington,Pierce,Tacoma,University of Puget Sound,21,WA,53053,47.2431,-122.4531
West Virginia,Monongalia,Morgantown,West Virginia University,871,WV,54061,39.638,-79.9468
West Virginia,Cabell,Huntington,Marshall University,282,WV,54011,38.4109,-82.4344
West Virginia,Kanawha,Charleston,University of Charleston,76,WV,54039,38.3484,-81.6323
West Virginia,Jefferson,Shepherdstown,Shepherd University,73,WV,54037,39.4318,-77.8048
West Virginia,Kanawha,Institute,West Virginia State University,71,NA,NA,38.380541,-81.765034
West Virginia,Mercer,Athens,Concord University,66,WV,54055,37.423,-81.0148
West Virginia,Randolph,Elkins,Davis & Elkins College,65,WV,54083,38.9237,-79.854
West Virginia,Marion,Fairmont,Fairmont State University,61,WV,54049,39.4768,-80.1491
West Virginia,Ohio,West Liberty,West Liberty University,61,WV,54069,40.1647,-80.5972
West Virginia,Barbour,Philippi,Alderson Broaddus University,48,WV,54001,39.1487,-80.0418
Wisconsin,Dane,Madison,University of Wisconsin-Madison,4193,WI,55025,43.0826,-89.3931
Wisconsin,Winnebago,Oshkosh,University of Wisconsin-Oshkosh,1183,WI,55139,44.0228,-88.5619
Wisconsin,Milwaukee,Milwaukee,University of Wisconsin-Milwaukee,1128,WI,55079,43.0642,-87.9673
Wisconsin,Milwaukee,Milwaukee,Marquette University,963,WI,55079,43.0642,-87.9673
Wisconsin,Eau Claire,Eau Claire,University of Wisconsin-Eau Claire,776,WI,55035,44.8199,-91.4949
Wisconsin,Walworth,Whitewater,University of Wisconsin-Whitewater,666,WI,55127,42.8372,-88.7341
Wisconsin,Portage,Stevens Point,University of Wisconsin-Stevens Point,537,WI,55097,44.5241,-89.5508
Wisconsin,Grant,Platteville,University of Wisconsin-Platteville,500,WI,55043,42.728,-90.4676
Wisconsin,La Crosse,La Crosse,University of Wisconsin-La Crosse,492,WI,55063,43.824,-91.2268
Wisconsin,Pierce,River Falls,University of Wisconsin-River Falls,366,WI,55093,44.861,-92.6248
Wyoming,Albany,Laramie,University of Wyoming,1597,WY,56001,41.3099,-105.6085
Wyoming,Natrona,Casper,Casper College,249,WY,56025,42.842,-106.3207
Wyoming,Sweetwater,Rock Springs,Western Wyoming Community College,41,WY,56037,41.5951,-109.2238
Wyoming,Goshen,Torrington,Eastern Wyoming College,10,WY,56015,42.0658,-104.1623
