"WeekNumber","casesuf","casesug","casesclem","casesps"
32,NA,NA,NA,0
33,NA,176,NA,1
34,NA,901,38,16
35,569,1490,442,285
36,767,446,778,575
37,416,170,680,600
38,186,65,518,666
39,161,68,615,466
40,279,96,512,419
41,420,87,367,184
42,378,67,191,218
43,267,86,98,153
44,296,101,NA,217
45,237,89,NA,261
46,227,NA,NA,379
47,131,NA,NA,10
48,4,NA,NA,NA
